id,slug,name_en,name_nl,region,province,description_en,description_nl,population,highlights,lat,lng,image
1,bangkok,Bangkok,Bangkok,Central,Bangkok,"The bustling capital of Thailand, famous for street food, nightlife, temples, and markets.","De bruisende hoofdstad van Thailand, beroemd om streetfood, uitgaansleven, tempels en markten.",10539000,"Grand Palace|Khao San Road|Chatuchak Market|Wat Pho",13.7563,100.5018,/images/cities/bangkok/downtown-bangkok.webp
2,chiang-mai,Chiang Mai,Chiang Mai,Northern,Chiang Mai,"Northern Thailand's cultural hub, known for its old city, night markets, temples, and nearby mountains.","Het culturele hart van Noord-Thailand, bekend om de oude stad, markten, tempels en bergen.",127000,"Doi Suthep|Old City|Sunday Night Market|Elephant Sanctuary",18.7883,98.9853,/images/cities/chiangmai/chiang-mai-park.webp
3,phuket,Phuket,Phuket,Southern,Phuket,"Thailand's largest island, famous for beaches, nightlife, water sports and island hopping.","Het grootste eiland van Thailand, beroemd om stranden, uitgaan, watersport en eilandhoppen.",443000,"Patong Beach|Big Buddha|Old Town|Phi Phi Islands",7.8804,98.3923,/images/cities/phuket/phuket-old-town.webp
4,pattaya,Pattaya,Pattaya,Central,Chonburi,"Lively coastal city close to Bangkok, known for beaches, nightlife, and family attractions.","Levendige kuststad nabij Bangkok, bekend om stranden, uitgaan en attracties.",119000,"Walking Street|Sanctuary of Truth|Jomtien Beach|Floating Market",12.9236,100.8825,/images/cities/pattaya/pattaya-sanctuary-truth.webp
5,ayutthaya,Ayutthaya,Ayutthaya,Central,Ayutthaya,"Historic former capital, UNESCO World Heritage, with ancient temples and ruins.","Historische oude hoofdstad, UNESCO Werelderfgoed, met oude tempels en ruïnes.",52000,"Ayutthaya Historical Park|Wat Mahathat|Wat Chaiwatthanaram",14.3532,100.5689,/images/cities/ayutthaya/ayutthaya-historical-park.webp
6,krabi,Krabi,Krabi,Southern,Krabi,"Famous for stunning limestone cliffs, beaches, and island hopping (Railay, Ao Nang, Koh Phi Phi).","Bekend om de kalkstenen kliffen, stranden en eilanden zoals Railay en Phi Phi.",36000,"Railay Beach|Ao Nang|Emerald Pool|Tiger Cave Temple",8.0863,98.9063,/images/cities/krabi/krabi-mountain-view.webp
7,chiang-rai,Chiang Rai,Chiang Rai,Northern,Chiang Rai,"Gateway to the Golden Triangle, famous for the White Temple and hill tribe culture.","Poort tot de Gouden Driehoek, bekend om de Witte Tempel en bergstammen.",200000,"White Temple|Blue Temple|Night Bazaar|Golden Triangle",19.9105,99.8406,/images/cities/chiang-rai/chiang-rai-temple-front.webp
8,hat-yai,Hat Yai,Hat Yai,Southern,Songkhla,"Southern Thailand's largest city, shopping hub and gateway to Malaysia.","Grootste stad van Zuid-Thailand, winkelstad en poort naar Maleisië.",157000,"Kim Yong Market|Floating Market|Hat Yai Park|Asean Night Bazaar",7.0086,100.4747,/images/cities/bangkok/business-district-bangkok.webp
9,sukhothai,Sukhothai,Sukhothai,Northern,Sukhothai,"Famous for Sukhothai Historical Park, ruins of Thailand's first capital.","Beroemd om Sukhothai Historical Park, ruïnes van de eerste Thaise hoofdstad.",37000,"Historical Park|Wat Mahathat|Wat Si Chum|Yom River",17.0078,99.8237,/images/cities/ayutthaya/ayutthaya-historical-park.webp
10,surat-thani,Surat Thani,Surat Thani,Southern,Surat Thani,"Transport hub to islands like Koh Samui, Koh Phangan, and Koh Tao.","Vervoersknooppunt naar eilanden als Koh Samui, Koh Phangan en Koh Tao.",132000,"Koh Samui Pier|Surat Thani City Pillar Shrine|Tapee River",9.1400,99.3331,/images/cities/phuket/phuket-old-town.webp
