id,slug,name_en,name_nl,type,city_slug,address,coordinates_lat,coordinates_lng,opening_hours,entrance_fee_thb,description_en,description_nl,highlights,image_url,official_website
1,doi-suthep,Doi Suthep Temple,Doi Suthep Tempel,temple,chiang-mai,"Huay Kaew Road, Suthep, Muang Chiang Mai",18.8047,98.9216,06:00-18:00,50,"Sacred temple on mountain top with panoramic city views and golden chedi","Heilige tempel op bergtop met panoramisch uitzicht over de stad en gouden chedi","Mountain temple|City views|Golden chedi|Sacred site","/images/attractions/chiang-mai/doi-suthep.webp","https://www.doisuthep.com"
2,old-city-chiang-mai,Chiang Mai Old City,Chiang Mai Oude Stad,historic,chiang-mai,"Old City, Muang Chiang Mai District",18.7883,98.9853,24/7,0,"Historic walled city center with ancient temples moats and traditional architecture","Historisch ommuurde stadscentrum met oude tempels grachten en traditionele architectuur","Ancient walls|Historic temples|Traditional markets|Cultural heritage","/images/attractions/chiang-mai/old-city.webp",""
3,sunday-night-market,Sunday Night Market,Zondag Nachtmarkt,market,chiang-mai,"Ratchadamnoen Road, Phra Singh, Muang Chiang Mai",18.7883,98.9853,17:00-23:00,0,"Famous walking street market with local handicrafts food and live music","Beroemde wandelmarkt met lokale handwerk eten en live muziek","Walking street|Local handicrafts|Street food|Live music","/images/attractions/chiang-mai/sunday-market.webp",""
4,elephant-nature-park,Elephant Nature Park,Olifanten Natuurpark,sanctuary,chiang-mai,"209/2 Sridom Chai Road, Mae Rim District",19.0297,98.8414,08:00-17:00,2500,"Ethical elephant sanctuary focused on rescue rehabilitation and conservation","Ethisch olifantensanctuarium gericht op redding rehabilitatie en behoud","Elephant rescue|Ethical tourism|Conservation|Educational tours","/images/attractions/chiang-mai/elephant-park.webp","https://www.elephantnaturepark.org"
5,wat-phra-singh,Wat Phra Singh,Wat Phra Singh,temple,chiang-mai,"2 Samlarn Road, Phra Singh, Muang Chiang Mai",18.7886,98.9814,06:00-18:00,20,"Most revered temple in Chiang Mai housing the sacred Phra Singh Buddha","Meest geëerde tempel in Chiang Mai met de heilige Phra Singh Boeddha","Sacred Buddha image|Lanna architecture|Ancient murals|Religious ceremonies","/images/attractions/chiang-mai/wat-phra-singh.webp",""
6,night-bazaar,Chiang Mai Night Bazaar,Chiang Mai Nachtbazaar,market,chiang-mai,"Chang Khlan Road, Muang Chiang Mai",18.7881,98.9917,18:00-24:00,0,"Bustling night market with souvenirs clothing and local street food","Bruisende nachtmarkt met souvenirs kleding en lokaal straatvoedsel","Night shopping|Souvenirs|Street food|Local crafts","/images/attractions/chiang-mai/night-bazaar.webp",""
7,wat-chedi-luang,Wat Chedi Luang,Wat Chedi Luang,temple,chiang-mai,"103 King Prajadhipok Road, Phra Singh, Muang Chiang Mai",18.7871,98.9856,06:00-18:00,40,"Ancient temple with massive ruined chedi and monk chat program","Oude tempel met massieve geruïneerde chedi en monnik chat programma","Ancient ruins|Massive chedi|Monk chat|Historical significance","/images/attractions/chiang-mai/wat-chedi-luang.webp",""
8,doi-inthanon,Doi Inthanon National Park,Doi Inthanon Nationaal Park,nature,chiang-mai,"Ban Luang, Chom Thong District",18.5886,98.4867,06:00-18:00,300,"Thailand's highest peak with waterfalls twin pagodas and cool climate","Thailand's hoogste piek met watervallen twin pagoda's en koel klimaat","Highest peak|Twin pagodas|Waterfalls|Cool climate|Hiking trails","/images/attractions/chiang-mai/doi-inthanon.webp","https://portal.dnp.go.th"
9,saturday-night-market,Saturday Night Market,Zaterdag Nachtmarkt,market,chiang-mai,"Wua Lai Road, Hai Ya, Muang Chiang Mai",18.7825,98.9889,17:00-23:00,0,"Local walking street market known for silver handicrafts and authentic atmosphere","Lokale wandelmarkt bekend om zilveren handwerk en authentieke sfeer","Silver handicrafts|Local atmosphere|Traditional crafts|Street food","/images/attractions/chiang-mai/saturday-market.webp",""
10,bua-thong-waterfalls,Bua Thong Sticky Waterfalls,Bua Thong Kleverige Watervallen,nature,chiang-mai,"Sri Lanna National Park, Mae Taeng District",19.5167,98.8833,08:00-17:00,200,"Unique limestone waterfalls you can climb without slipping","Unieke kalkstenen watervallen die je kunt beklimmen zonder uit te glijden","Climbable waterfalls|Limestone formations|Natural pools|Unique experience","/images/attractions/chiang-mai/sticky-waterfalls.webp",""
