id,slug,name_en,name_nl,type,city_slug,address,coordinates_lat,coordinates_lng,opening_hours,entrance_fee_thb,description_en,description_nl,highlights,image_url,official_website
1,sukhothai-historical-park,Sukhothai Historical Park,Sukhothai Historisch Park,historic,sukhothai,"Sukhothai Historical Park, Sukhothai Province",17.0078,99.8237,06:00-18:00,100,"UNESCO World Heritage site with ruins of Thailand's first capital and ancient temples","UNESCO Werelderfgoed met ruïnes van Thailand's eerste hoofdstad en oude tempels","UNESCO World Heritage|First Thai capital|Ancient temples|Historical ruins","/images/attractions/sukhothai/historical-park.webp","https://www.sukhothai.go.th"
2,wat-mahathat-sukhothai,Wat Mahathat Sukhothai,Wat Mahathat Sukhothai,temple,sukhothai,"Sukhothai Historical Park Central Zone",17.0078,99.8237,06:00-18:00,100,"Main temple of Sukhothai with iconic lotus-bud chedi and Buddha statues","Hoofdtempel van Sukhothai met iconische lotus-knop chedi en Boeddhabeelden","Lotus-bud chedi|Buddha statues|Main temple|Sukhothai architecture","/images/attractions/sukhothai/wat-mahathat.webp",""
3,wat-si-chum,Wat Si Chum,Wat Si Chum,temple,sukhothai,"Sukhothai Historical Park West Zone",17.0167,99.8167,06:00-18:00,100,"Famous temple housing massive seated Buddha statue visible through narrow opening","Beroemde tempel met massaal zittend Boeddhabeeld zichtbaar door smalle opening","Massive seated Buddha|Narrow opening|Iconic temple|Ancient architecture","/images/attractions/sukhothai/wat-si-chum.webp",""
4,wat-sa-si,Wat Sa Si,Wat Sa Si,temple,sukhothai,"Sukhothai Historical Park Central Zone",17.0078,99.8237,06:00-18:00,100,"Picturesque temple on small island surrounded by lotus pond","Pittoreske tempel op klein eiland omringd door lotusvijver","Island temple|Lotus pond|Picturesque setting|Peaceful atmosphere","/images/attractions/sukhothai/wat-sa-si.webp",""
5,ramkhamhaeng-national-museum,Ramkhamhaeng National Museum,Ramkhamhaeng Nationaal Museum,museum,sukhothai,"Sukhothai Historical Park, Sukhothai Province",17.0078,99.8237,09:00-16:00,150,"Museum showcasing Sukhothai artifacts including the famous Ramkhamhaeng inscription","Museum met Sukhothai artefacten inclusief de beroemde Ramkhamhaeng inscriptie","Ramkhamhaeng inscription|Sukhothai artifacts|Historical museum|Cultural heritage","/images/attractions/sukhothai/ramkhamhaeng-museum.webp",""
6,wat-saphan-hin,Wat Saphan Hin,Wat Saphan Hin,temple,sukhothai,"Sukhothai Historical Park West Zone",17.0167,99.8167,06:00-18:00,100,"Hilltop temple with standing Buddha statue and panoramic views of the plains","Heuvel tempel met staand Boeddhabeeld en panoramisch uitzicht over de vlaktes","Hilltop temple|Standing Buddha|Panoramic views|Stone bridge","/images/attractions/sukhothai/wat-saphan-hin.webp",""
7,si-satchanalai-historical-park,Si Satchanalai Historical Park,Si Satchanalai Historisch Park,historic,sukhothai,"Si Satchanalai District, Sukhothai Province",17.2833,99.7667,08:00-17:00,100,"Sister city ruins with well-preserved temples and ancient kilns","Zusterstad ruïnes met goed bewaarde tempels en oude ovens","Sister city ruins|Ancient kilns|Well-preserved temples|Historical significance","/images/attractions/sukhothai/si-satchanalai.webp",""
8,wat-chang-lom,Wat Chang Lom,Wat Chang Lom,temple,sukhothai,"Si Satchanalai Historical Park",17.2833,99.7667,08:00-17:00,100,"Temple famous for elephant-supported chedi in Sri Lankan style","Tempel beroemd om olifant-ondersteunde chedi in Sri Lankaanse stijl","Elephant-supported chedi|Sri Lankan style|Unique architecture|Ancient temple","/images/attractions/sukhothai/wat-chang-lom.webp",""
9,yom-river,Yom River,Yom Rivier,nature,sukhothai,"Yom River, Sukhothai Province",17.0078,99.8237,24/7,0,"Scenic river perfect for boat trips cycling along banks and sunset views","Schilderachtige rivier perfect voor boottochten fietsen langs oevers en zonsondergang","Scenic river|Boat trips|Cycling paths|Sunset views","/images/attractions/sukhothai/yom-river.webp",""
10,sukhothai-night-market,Sukhothai Night Market,Sukhothai Nachtmarkt,market,sukhothai,"Charot Withi Thong Road, Sukhothai",17.0078,99.8237,17:00-22:00,0,"Local night market with traditional food handicrafts and cultural atmosphere","Lokale nachtmarkt met traditioneel eten handwerk en culturele sfeer","Traditional food|Local handicrafts|Cultural atmosphere|Night market","/images/attractions/sukhothai/night-market.webp",""
