id,slug,name,type,city,area,description,highlights,opening_hours,dress_code,entrance_fee,age_limit,music_type,best_time,image,popular_with,vibe,price_level
1,levels-club-bangkok,Levels Club & Lounge,nightclub,bangkok,sukhumvit,"Multi-level nightclub in Bangkok with different music on each floor","multiple floors, international DJs, VIP areas",22:00-02:00,smart casual,free before midnight,20+,"EDM, hip-hop, house",midnight-2am,/images/nightlife/levels-club-bangkok.webp,"expats, tourists, locals",upscale party,expensive
2,route-66-bangkok,Route 66,nightclub,bangkok,rca,"Legendary Bangkok nightclub with live bands and DJ sets","live music, large dance floor, Thai crowd",21:00-02:00,casual,300-500 THB,20+,"Thai pop, hip-hop, EDM",11pm-1am,/images/nightlife/route-66-bangkok.webp,"locals, students",energetic local,mid-range
3,khao-san-road,Khao San Road,street-party,bangkok,old-city,"Famous backpacker street with bars and street food","street bars, live music, street food, bucket drinks",18:00-02:00,very casual,free,18+,"mixed, live bands",8pm-midnight,/images/nightlife/khao-san-road.webp,"backpackers, young travelers",chaotic fun,budget
4,sky-bar-bangkok,Sky Bar at Lebua,rooftop-bar,bangkok,riverside,"World-famous rooftop bar from The Hangover movie","360-degree views, signature cocktails, sunset views",17:00-01:00,smart casual (strict),no cover,21+,lounge music,sunset hour,/images/nightlife/sky-bar-bangkok.webp,"couples, tourists",sophisticated,very expensive
5,soi-cowboy,Soi Cowboy,red-light,bangkok,sukhumvit,"Neon-lit entertainment street with go-go bars","go-go bars, neon lights, street atmosphere",19:00-02:00,casual,varies by venue,18+,Thai pop,10pm-midnight,/images/nightlife/soi-cowboy.webp,"tourists, expats",adult entertainment,expensive
6,walking-street-pattaya,Walking Street,entertainment-district,pattaya,south-pattaya,"Pattaya's main nightlife street with clubs and bars","go-go bars, nightclubs, live music, seafood restaurants",18:00-04:00,casual,varies,18+,"everything",11pm-2am,/images/nightlife/walking-street-pattaya.webp,"tourists, expats",wild party,varies
7,insomnia-pattaya,Insomnia Nightclub,nightclub,pattaya,walking-street,"Large nightclub on Walking Street with international DJs","big dance floor, laser shows, foam parties",22:00-06:00,casual,300-500 THB,20+,"EDM, house",1am-3am,/images/nightlife/insomnia-pattaya.webp,"party tourists",high energy,mid-range
8,horizon-rooftop-pattaya,Horizon Rooftop Bar,rooftop-bar,pattaya,central-pattaya,"Stylish rooftop bar at Hilton Pattaya","panoramic views, craft cocktails, live music",17:00-01:00,smart casual,no cover,18+,"jazz, lounge",sunset,/images/nightlife/horizon-rooftop-pattaya.webp,"couples, upscale tourists",elegant,expensive
9,bangla-road-phuket,Bangla Road,entertainment-district,phuket,patong,"Phuket's party central with bars and clubs","go-go bars, nightclubs, street performers",20:00-04:00,casual,varies,18+,mixed,11pm-2am,/images/nightlife/bangla-road-phuket.webp,"tourists",party madness,varies
10,illuzion-phuket,Illuzion Phuket,nightclub,phuket,patong,"Biggest nightclub in Phuket with world-class DJs","massive dance floor, LED screens, pyrotechnics",22:00-04:00,trendy,500-1000 THB,20+,"EDM, house",midnight-2am,/images/nightlife/illuzion-phuket.webp,"party tourists, Russians",mega club,expensive
11,white-room-phuket,White Room,nightclub,phuket,patong,"Underground-style club with hip-hop focus","hip-hop music, graffiti decor, local DJs",23:00-04:00,street style,300 THB,20+,"hip-hop, R&B",1am-3am,/images/nightlife/white-room-phuket.webp,"locals, expats",urban underground,mid-range
12,zoe-yellow,Zoe in Yellow,bar-club,chiang-mai,old-city,"Legendary late-night spot in Chiang Mai","outdoor seating, cheap drinks, backpacker vibe",18:00-02:00,very casual,free,18+,"reggae, rock",11pm-1am,/images/nightlife/zoe-yellow.webp,"backpackers, digital nomads",laid-back party,budget
13,warm-up-cafe,Warm Up Cafe,live-music,chiang-mai,nimman,"Popular live music venue and club","live bands, outdoor area, young crowd",18:00-01:00,casual,free,18+,"Thai bands, rock",9pm-11pm,/images/nightlife/warm-up-cafe.webp,"students, young locals",youthful energy,budget
14,infinity-club,Infinity Nightclub,nightclub,chiang-mai,old-city,"Modern nightclub near Thapae Gate","LED dance floor, VIP areas, themed nights",21:00-02:00,smart casual,200 THB,20+,"EDM, commercial",midnight-1am,/images/nightlife/infinity-club.webp,"tourists, locals",modern party,mid-range
15,maya-rooftop,MAYA Rooftop Bar,rooftop-bar,chiang-mai,nimman,"Chic rooftop bar with mountain views","360 views, craft cocktails, sunset",17:00-midnight,smart casual,no cover,18+,lounge music,sunset,/images/nightlife/maya-rooftop.webp,"couples, professionals",sophisticated,expensive
