id,slug,name_en,name_nl,type,city_slug,address,coordinates_lat,coordinates_lng,opening_hours,entrance_fee_thb,description_en,description_nl,highlights,image_url,official_website
1,white-temple,White Temple (Wat Rong Khun),Witte Tempel (Wat Rong Khun),temple,chiang-rai,"Pa O Don Chai Road, A. Muang, Chiang Rai",19.8242,99.7633,08:00-17:00,100,"Stunning contemporary white temple with intricate mirror work and modern Buddhist art","Prachtige hedendaagse witte tempel met ingewikkeld spiegelwerk en moderne boeddhistische kunst","Contemporary design|Mirror work|Modern Buddhist art|Unique architecture","/images/attractions/chiang-rai/white-temple.webp","https://www.watrongkhun.org"
2,blue-temple,Blue Temple (Wat Rong Suea Ten),Blauwe Tempel (Wat Rong Suea Ten),temple,chiang-rai,"306 Moo 2, Rim Kok, Muang Chiang Rai",19.8833,99.8167,07:00-20:00,0,"Magnificent blue temple with golden Buddha statue and intricate blue and gold decorations","Prachtige blauwe tempel met gouden Boeddhabeeld en ingewikkelde blauwe en gouden decoraties","Blue and gold design|Golden Buddha|Intricate decorations|Modern temple","/images/attractions/chiang-rai/blue-temple.webp",""
3,golden-triangle,Golden Triangle,Gouden Driehoek,historic,chiang-rai,"Golden Triangle, Chiang Saen District",20.3533,100.0833,08:00-18:00,0,"Historic confluence of Thailand Laos and Myanmar rivers with opium museum","Historische samenvloeiing van Thailand Laos en Myanmar rivieren met opium museum","Three countries meeting|Mekong River|Opium history|Border region","/images/attractions/chiang-rai/golden-triangle.webp",""
4,chiang-rai-night-bazaar,Chiang Rai Night Bazaar,Chiang Rai Nachtbazaar,market,chiang-rai,"Phahonyothin Road, Wiang, Muang Chiang Rai",19.9105,99.8406,18:00-23:00,0,"Local night market with handicrafts street food and cultural performances","Lokale nachtmarkt met handwerk straatvoedsel en culturele optredens","Local handicrafts|Street food|Cultural performances|Night shopping","/images/attractions/chiang-rai/night-bazaar.webp",""
5,wat-phra-kaew,Wat Phra Kaew Chiang Rai,Wat Phra Kaew Chiang Rai,temple,chiang-rai,"Trairat Road, Wiang, Muang Chiang Rai",19.9105,99.8406,06:00-18:00,0,"Historic temple where the famous Emerald Buddha was discovered","Historische tempel waar de beroemde Smaragd Boeddha werd ontdekt","Emerald Buddha history|Lanna architecture|Historic temple|Cultural significance","/images/attractions/chiang-rai/wat-phra-kaew.webp",""
6,mae-fah-luang-garden,Mae Fah Luang Art and Culture Park,Mae Fah Luang Kunst en Cultuur Park,garden,chiang-rai,"Moo 7, Tathon, Chiang Dao District",19.5833,98.9667,08:30-17:00,90,"Beautiful botanical garden with Lanna architecture and cultural exhibitions","Prachtige botanische tuin met Lanna architectuur en culturele tentoonstellingen","Botanical gardens|Lanna architecture|Cultural exhibitions|Art collections","/images/attractions/chiang-rai/mae-fah-luang.webp",""
7,doi-tung-royal-villa,Doi Tung Royal Villa,Doi Tung Koninklijke Villa,palace,chiang-rai,"Mae Fa Luang District, Chiang Rai",20.3167,99.8333,08:30-17:30,90,"Former residence of Princess Mother with beautiful gardens and mountain views","Voormalige residentie van Prinses Moeder met prachtige tuinen en bergzicht","Royal residence|Mountain views|Beautiful gardens|Royal history","/images/attractions/chiang-rai/doi-tung.webp",""
8,singha-park,Singha Park,Singha Park,nature,chiang-rai,"99 Moo 1, Mae Kon, Chiang Rai",19.8167,99.7833,09:00-18:00,0,"Large agricultural park with tea plantations balloon rides and outdoor activities","Groot landbouwpark met theeplantages ballonvaarten en buitenactiviteiten","Tea plantations|Hot air balloons|Outdoor activities|Agricultural tourism","/images/attractions/chiang-rai/singha-park.webp","https://www.singhaparkchiangrai.com"
9,black-house,Black House (Baan Dam Museum),Zwart Huis (Baan Dam Museum),museum,chiang-rai,"414 Moo 13, Nang Lae, Muang Chiang Rai",19.9667,99.8833,09:00-17:00,80,"Unique dark art museum showcasing unconventional art and architecture","Uniek donker kunst museum met onconventionele kunst en architectuur","Dark art museum|Unconventional architecture|Artistic collection|Cultural experience","/images/attractions/chiang-rai/black-house.webp",""
10,hill-tribe-villages,Hill Tribe Villages,Bergstam Dorpen,cultural,chiang-rai,"Various locations around Chiang Rai",19.9105,99.8406,08:00-17:00,500,"Cultural tours to authentic hill tribe villages experiencing traditional lifestyles","Culturele tours naar authentieke bergstam dorpen met traditionele levensstijlen","Hill tribe culture|Traditional lifestyles|Cultural immersion|Authentic villages","/images/attractions/chiang-rai/hill-tribes.webp",""
