id,slug,name_en,name_nl,type,city_slug,address,coordinates_lat,coordinates_lng,opening_hours,entrance_fee_thb,description_en,description_nl,highlights,image_url,official_website
1,ayutthaya-historical-park,Ayutthaya Historical Park,Ayutthaya Historisch Park,historic,ayutthaya,"Ayutthaya Historical Park, Phra Nakhon Si Ayutthaya",14.3532,100.5689,08:00-18:00,50,"UNESCO World Heritage site with ancient temple ruins from former Siamese capital","UNESCO Werelderfgoed met oude tempelruïnes van voormalige Siamese hoofdstad","UNESCO World Heritage|Ancient ruins|Former capital|Historical significance","/images/attractions/ayutthaya/historical-park.webp","https://www.ayutthaya-history.com"
2,wat-mahathat,Wat Mahathat,Wat Mahathat,temple,ayutthaya,"Chikun Road, Phra Nakhon Si Ayutthaya",14.3569,100.5681,08:00-18:00,50,"Famous temple ruins with Buddha head entwined in tree roots","Beroemde tempelruïnes met Boeddhahoofd verweven in boomwortels","Buddha head in tree|Ancient ruins|Iconic photo spot|Historical temple","/images/attractions/ayutthaya/wat-mahathat.webp",""
3,wat-chaiwatthanaram,Wat Chaiwatthanaram,Wat Chaiwatthanaram,temple,ayutthaya,"U Thong Road, Ban Pom, Phra Nakhon Si Ayutthaya",14.3431,100.5397,08:00-18:00,50,"Magnificent temple complex with central prang and surrounding chedis","Prachtig tempelcomplex met centrale prang en omringende chedi's","Central prang|Khmer architecture|Sunset views|Royal temple","/images/attractions/ayutthaya/wat-chaiwatthanaram.webp",""
4,wat-phra-si-sanphet,Wat Phra Si Sanphet,Wat Phra Si Sanphet,temple,ayutthaya,"Si Sanphet Road, Phra Nakhon Si Ayutthaya",14.3556,100.5581,08:00-18:00,50,"Former royal temple with three iconic chedis housing royal ashes","Voormalige koninklijke tempel met drie iconische chedi's met koninklijke as","Three iconic chedis|Royal temple|Former palace grounds|Historical significance","/images/attractions/ayutthaya/wat-phra-si-sanphet.webp",""
5,wat-lokayasutharam,Wat Lokayasutharam,Wat Lokayasutharam,temple,ayutthaya,"Pratuchai Subdistrict, Phra Nakhon Si Ayutthaya",14.3542,100.5542,08:00-18:00,20,"Temple famous for massive 42-meter long reclining Buddha statue","Tempel beroemd om massaal 42 meter lang liggend Boeddhabeeld","42m reclining Buddha|Outdoor statue|Ancient temple|Peaceful atmosphere","/images/attractions/ayutthaya/wat-lokayasutharam.webp",""
6,wat-yai-chai-mongkhon,Wat Yai Chai Mongkhon,Wat Yai Chai Mongkhon,temple,ayutthaya,"9 Moo 1, Khlong Suan Phlu, Phra Nakhon Si Ayutthaya",14.3333,100.5833,08:00-17:00,20,"Active temple with towering chedi and rows of Buddha statues","Actieve tempel met torenhoge chedi en rijen Boeddhabeelden","Towering chedi|Active temple|Buddha statues|Climbing stairs","/images/attractions/ayutthaya/wat-yai-chai-mongkhon.webp",""
7,bang-pa-in-palace,Bang Pa-In Royal Palace,Bang Pa-In Koninklijk Paleis,palace,ayutthaya,"Bang Pa-in District, Phra Nakhon Si Ayutthaya",14.2333,100.5833,08:00-17:00,100,"Beautiful royal summer palace with mix of Thai European and Chinese architecture","Prachtig koninklijk zomerpaleis met mix van Thaise Europese en Chinese architectuur","Royal summer palace|Mixed architecture|Beautiful gardens|Cultural heritage","/images/attractions/ayutthaya/bang-pa-in.webp",""
8,chao-sam-phraya-museum,Chao Sam Phraya National Museum,Chao Sam Phraya Nationaal Museum,museum,ayutthaya,"Rochana Road, Pratu Chai, Phra Nakhon Si Ayutthaya",14.3542,100.5542,09:00-16:00,150,"Museum showcasing Ayutthaya artifacts including golden Buddha images and royal treasures","Museum met Ayutthaya artefacten inclusief gouden Boeddhabeelden en koninklijke schatten","Golden Buddha images|Royal treasures|Historical artifacts|Cultural museum","/images/attractions/ayutthaya/chao-sam-phraya.webp",""
9,wat-ratchaburana,Wat Ratchaburana,Wat Ratchaburana,temple,ayutthaya,"Chikun Road, Phra Nakhon Si Ayutthaya",14.3569,100.5681,08:00-18:00,50,"Ancient temple with well-preserved prang and underground crypt with murals","Oude tempel met goed bewaarde prang en ondergrondse crypte met muurschilderingen","Well-preserved prang|Underground crypt|Ancient murals|Historical temple","/images/attractions/ayutthaya/wat-ratchaburana.webp",""
10,ayutthaya-elephant-palace,Ayutthaya Elephant Palace,Ayutthaya Olifanten Paleis,attraction,ayutthaya,"99 Moo 4, Tambon Samphao Lom, Phra Nakhon Si Ayutthaya",14.3167,100.5833,08:30-17:30,200,"Elephant camp offering rides and shows in historical setting","Olifantenkamp met ritten en shows in historische omgeving","Elephant rides|Cultural shows|Historical setting|Traditional experience","/images/attractions/ayutthaya/elephant-palace.webp","https://www.elephantpalace.com"
