id,slug,name_en,name_nl,type,city_slug,address,coordinates_lat,coordinates_lng,opening_hours,entrance_fee_thb,description_en,description_nl,highlights,image_url,official_website
1,kim-yong-market,Kim Yong Market,Kim Yong Markt,market,hat-yai,"Kim Yong Road, Hat Yai District, Songkhla",7.0086,100.4747,06:00-18:00,0,"Historic covered market famous for local products dried seafood and traditional goods","Historische overdekte markt beroemd om lokale producten gedroogde zeevruchten en traditionele goederen","Historic market|Dried seafood|Local products|Traditional goods","/images/attractions/hat-yai/kim-yong-market.webp",""
2,hat-yai-floating-market,Hat Yai Floating Market,Hat Yai Drijvende Markt,market,hat-yai,"Klong Hae, Hat Yai District, Songkhla",6.9833,100.4833,16:00-21:00,0,"Evening floating market with local food boat rides and cultural performances","Avond drijvende markt met lokaal eten boottochten en culturele optredens","Evening market|Boat rides|Local food|Cultural performances","/images/attractions/hat-yai/floating-market.webp",""
3,hat-yai-municipal-park,Hat Yai Municipal Park,Hat Yai Gemeentelijk Park,park,hat-yai,"Hat Yai Park Road, Hat Yai District",7.0167,100.4833,06:00-18:00,0,"City park with cable car golden Buddha statue and panoramic city views","Stadspark met kabelbaan gouden Boeddhabeeld en panoramisch uitzicht over de stad","Cable car|Golden Buddha|City views|Recreation area","/images/attractions/hat-yai/municipal-park.webp",""
4,asean-night-bazaar,ASEAN Night Bazaar,ASEAN Nachtbazaar,market,hat-yai,"Niphat Uthit 3 Road, Hat Yai District",7.0086,100.4747,18:00-24:00,0,"Large night market with shopping dining and entertainment for locals and tourists","Grote nachtmarkt met winkelen dineren en entertainment voor locals en toeristen","Night shopping|Local dining|Entertainment|Tourist hub","/images/attractions/hat-yai/asean-bazaar.webp",""
5,wat-hat-yai-nai,Wat Hat Yai Nai,Wat Hat Yai Nai,temple,hat-yai,"Hat Yai Nai, Hat Yai District, Songkhla",7.0167,100.4667,06:00-18:00,0,"Temple famous for massive 35-meter long reclining Buddha statue","Tempel beroemd om massaal 35 meter lang liggend Boeddhabeeld","35m reclining Buddha|Massive statue|Buddhist temple|Religious site","/images/attractions/hat-yai/wat-hat-yai-nai.webp",""
6,central-festival-hat-yai,Central Festival Hat Yai,Central Festival Hat Yai,shopping,hat-yai,"99/9 Moo 4, Kho Hong, Hat Yai District",7.0167,100.4833,10:00-22:00,0,"Modern shopping mall with international brands restaurants and entertainment","Modern winkelcentrum met internationale merken restaurants en entertainment","Modern shopping|International brands|Dining|Entertainment","/images/attractions/hat-yai/central-festival.webp","https://www.centralfestival.co.th"
7,songkhla-old-town,Songkhla Old Town,Songkhla Oude Stad,historic,hat-yai,"Songkhla Old Town, Songkhla Province",7.2000,100.6000,24/7,0,"Historic town with Sino-Portuguese architecture museums and cultural sites","Historische stad met Sino-Portugese architectuur musea en culturele locaties","Sino-Portuguese architecture|Historic buildings|Museums|Cultural heritage","/images/attractions/hat-yai/songkhla-old-town.webp",""
8,lee-garden-plaza,Lee Garden Plaza,Lee Garden Plaza,shopping,hat-yai,"29 Thamnoonvithi Road, Hat Yai District",7.0086,100.4747,10:00-21:00,0,"Popular shopping center with local and international brands and food court","Populair winkelcentrum met lokale en internationale merken en food court","Shopping center|Local brands|Food court|City center location","/images/attractions/hat-yai/lee-garden.webp",""
9,ton-nga-chang-waterfall,Ton Nga Chang Waterfall,Ton Nga Chang Waterval,nature,hat-yai,"Ton Nga Chang Wildlife Sanctuary, Songkhla",6.9167,100.1667,08:00-17:00,200,"Seven-tiered waterfall in wildlife sanctuary perfect for nature lovers","Zeven-traps waterval in wildreservaat perfect voor natuurliefhebbers","Seven-tiered waterfall|Wildlife sanctuary|Nature hiking|Swimming pools","/images/attractions/hat-yai/ton-nga-chang.webp",""
10,hat-yai-ice-dome,Hat Yai Ice Dome,Hat Yai IJs Dome,attraction,hat-yai,"Central Festival Hat Yai, 4th Floor",7.0167,100.4833,10:00-21:00,200,"Indoor ice attraction with sculptures slides and sub-zero temperatures","Indoor ijs attractie met sculpturen glijbanen en temperaturen onder nul","Ice sculptures|Indoor attraction|Sub-zero experience|Family fun","/images/attractions/hat-yai/ice-dome.webp",""
