id,slug,name_en,name_nl,type,city_slug,address,coordinates_lat,coordinates_lng,opening_hours,entrance_fee_thb,description_en,description_nl,highlights,image_url,official_website
1,railay-beach,Railay Beach,Railay Beach,beach,krabi,"Railay Peninsula, Ao Nang, Muang Krabi",8.0167,98.8333,24/7,0,"Stunning peninsula beach accessible only by boat with limestone cliffs and rock climbing","Prachtig schiereiland strand alleen bereikbaar per boot met kalkstenen kliffen en rotsklimmen","Limestone cliffs|Rock climbing|Boat access only|Pristine beaches","/images/attractions/krabi/railay-beach.webp",""
2,ao-nang-beach,Ao Nang Beach,Ao Nang Beach,beach,krabi,"Ao Nang, Muang Krabi District",8.0333,98.8167,24/7,0,"Popular beach town with restaurants shops and gateway to island hopping tours","Populaire badplaats met restaurants winkels en toegangspoort tot eilandhopping tours","Beach town|Island hopping|Restaurants|Shopping","/images/attractions/krabi/ao-nang.webp",""
3,emerald-pool,Emerald Pool (Sa Morakot),Smaragd Zwembad (Sa Morakot),nature,krabi,"Thung Teao Forest Natural Park, Khlong Thom District",7.9167,99.2667,08:00-17:00,200,"Natural hot spring pool with crystal clear emerald-colored water in rainforest","Natuurlijke warmwaterbron met kristalhelder smaragdkleurig water in regenwoud","Natural hot springs|Emerald water|Rainforest setting|Swimming","/images/attractions/krabi/emerald-pool.webp",""
4,tiger-cave-temple,Tiger Cave Temple (Wat Tham Suea),Tijger Grot Tempel (Wat Tham Suea),temple,krabi,"Krabi Town, Muang Krabi District",8.1167,98.9167,05:00-18:00,0,"Buddhist temple complex with challenging climb to summit offering panoramic views","Boeddhistische tempelcomplex met uitdagende klim naar top met panoramisch uitzicht","1237 steps climb|Panoramic views|Buddhist temple|Physical challenge","/images/attractions/krabi/tiger-cave.webp",""
5,four-islands-tour,Four Islands Tour,Vier Eilanden Tour,island,krabi,"Phra Nang Cave Beach, Railay Peninsula",8.0167,98.8333,09:00-16:00,1200,"Popular boat tour visiting Phra Nang Cave Chicken Island Tup Island and Poda Island","Populaire boottour naar Phra Nang Grot Kip Eiland Tup Eiland en Poda Eiland","Island hopping|Snorkeling|Cave exploration|Boat tour","/images/attractions/krabi/four-islands.webp",""
6,hot-springs-waterfall,Hot Springs Waterfall,Warmwaterbron Waterval,nature,krabi,"Khlong Thom District, Krabi",7.9167,99.2667,08:00-18:00,90,"Natural hot springs cascading down limestone rocks creating warm pools","Natuurlijke warmwaterbronnen die over kalkstenen rotsen stromen en warme poelen vormen","Natural hot springs|Limestone cascades|Warm pools|Relaxation","/images/attractions/krabi/hot-springs.webp",""
7,phi-phi-islands-krabi,Phi Phi Islands from Krabi,Phi Phi Eilanden vanuit Krabi,island,krabi,"Phi Phi Islands, Krabi Province",7.7407,98.7784,08:00-17:00,400,"Day trip to famous Phi Phi Islands with Maya Bay snorkeling and stunning scenery","Dagtocht naar beroemde Phi Phi Eilanden met Maya Bay snorkelen en prachtige landschappen","Maya Bay|Snorkeling|Day trips|Stunning scenery","/images/attractions/krabi/phi-phi-krabi.webp",""
8,krabi-town-night-market,Krabi Town Night Market,Krabi Stad Nachtmarkt,market,krabi,"Maharaj Road, Krabi Town",8.0863,98.9063,17:00-22:00,0,"Local night market with authentic Thai street food and local atmosphere","Lokale nachtmarkt met authentiek Thais straatvoedsel en lokale sfeer","Street food|Local atmosphere|Night market|Authentic cuisine","/images/attractions/krabi/night-market.webp",""
9,klong-thom-hot-springs,Klong Thom Hot Springs,Klong Thom Warmwaterbronnen,nature,krabi,"Klong Thom District, Krabi",7.9167,99.2667,08:00-18:00,90,"Natural geothermal springs in tropical forest setting perfect for relaxation","Natuurlijke geothermische bronnen in tropisch bos perfect voor ontspanning","Geothermal springs|Tropical forest|Natural pools|Therapeutic waters","/images/attractions/krabi/klong-thom.webp",""
10,thung-teao-forest-park,Thung Teao Forest Natural Park,Thung Teao Bos Natuurpark,nature,krabi,"Khlong Thom District, Krabi",7.9167,99.2667,08:00-17:00,200,"Protected rainforest with nature trails hot springs and diverse wildlife","Beschermd regenwoud met natuurpaden warmwaterbronnen en diverse wilde dieren","Rainforest trails|Wildlife watching|Hot springs|Nature conservation","/images/attractions/krabi/thung-teao.webp",""
